address,symbol,name,decimals,liquidityAddedAt,logoURI,liquidity
GBomrhAqTL956WnpSEGpEJh5XBSktQ7iEZCq8GRRsvwK,CAHAM,CATI x HAMSTER COMBAT,9,2025-03-10T06:33:57,,7622.314060153174
6WnWUVT7QHjLFzDq6WN1pUmyjvceGWCR3tKevcGKHsmb,PWNUT,PWEANUT THE SQUIRREL,6,2025-03-10T06:33:50,https://ipfs.io/ipfs/QmYWhKDtSUXonzNDchnGh1kW6pemieRZvw7MguHnRsM5zp,2540.7713533843917
EFxWS6FtPR3B9yip7K9V4ULMQvoLgPmUT6BWcSpmfV4,Bastard,You bloody fuck bastard,6,2025-03-10T06:33:07,https://ipfs.io/ipfs/QmbHnrz3YNjankRQqL78ef2gXZJHYvB9i4wLanv9eNpZ1X,2541.129355988483
8ecSvnFikrsiPNutFTCzrk4rUj4hyz6ksTQVdjv56iGU,Raha,Raha the cute rhino,9,2025-03-10T06:31:44,,15260.348567301407
HRxSkPnxrfdQVKKinkVfoJCkwLcrxN7V3k8KVb2fAbZS,CAHAM,CATI x HAMSTER COMBAT,9,2025-03-10T06:31:32,,12716.957139417838
EkD4cGXxnfgwrdFZsfiw2mLaDBR4LNAcv6iERSzLfGjf,POTATO,Mega Potato Machine,6,2025-03-10T06:31:27,https://pump.mypinata.cloud/ipfs/QmYQgwcJRnrNVzncLGSoFKy8JHKHMXJ13Z2cWLccd9x2yf?img-width=100,2541.2305443581963
GocfoAuJZNNFriZpAdpyCUUKvokyKQJQi3rkDxxFnwSv,NFXT,Netflix.inc,9,2025-03-10T06:31:07,https://gateway.pinata.cloud/ipfs/QmSqexuvzpyvPYNRFxhrqrqUZZ5RvMDa4DejV5qaEec4tU,45.78669663279694
4jzBiuS153QoPZoEb5xBE2RDdpQpWCoMAiMis8NwLFZT,mushroom,mystic mushroom,6,2025-03-10T06:31:00,https://ipfs.io/ipfs/QmSJZHqwjTXmsfoAySkaZE5rVQuPi6RCi5WGCfXfdckAao,2543.5538571433217
GStMeSTr4rnkBRpDWMXHhPqrYUK4p8ZVN8z2sKhrG2vE,gwok,GWOK,9,2025-03-10T06:30:42,https://arweave.net/s4DvUo12yV328VdPZydWXNgT_7W9PKr7y4NdkXGlXBs,597413.643948282
2WRMFWgPHbmRYPzorVAwHLRqLBFYsBhxDnJudDwduFz3,POTATO,Mega Potato Machine,6,2025-03-10T06:29:53,https://pump.mypinata.cloud/ipfs/QmYQgwcJRnrNVzncLGSoFKy8JHKHMXJ13Z2cWLccd9x2yf?img-width=100,67991.39379448378
6YCxKcSS3b6b7NEU5dnnXWWiHU9kgujcLpWQQe61Rba4,$CC00,Official Cocao Bean Ticker,9,2025-03-10T06:29:51,,1400.5717822833738
BvknNXhALYStNgPDaxMGwpcf5aF5ti5MCp928z8L2pSP,Gork Doge,Gork Doge,6,2025-03-10T06:29:48,,2546.7801333769567
3LPj24nLkUh8XqPP9tvw3rN55X5TypWMqamtMPBVCFqg,BubsyAi,Bubsy Ai,9,2025-03-10T06:29:04,,13503.351980568317
8m7VQqE3XDsmQ1VFmmYRyeuhnwt9F4MN4CDXsfScVEWG,ELONGHIS,Elonghis Muskhan,6,2025-03-10T06:28:51,,29830.640692659028
C19YPde7iG4MaHdjkhciTyhWuxvVPML87dTbP7qcJQEF,Gork Doge,Gork Doge,6,2025-03-10T06:28:22,,31353.628396302753
8i4ioq7SmqJmWXow6pvCZBUVvqufqXMXZzgQ8FnFWuD2,Bastard,You bloody fuck bastard,6,2025-03-10T06:28:09,https://ipfs.io/ipfs/QmbHnrz3YNjankRQqL78ef2gXZJHYvB9i4wLanv9eNpZ1X,2551.856974167118
CC9eVU3YLbaGf38ccRuKrwLapAiXfYXCKrHjxujMBRQP,TRACE,Traceon,6,2025-03-10T06:28:04,https://pump.mypinata.cloud/ipfs/QmcA3rvcNrbJpvyudH5h8DQ2shjchXvkv6ibt7WT1twbMq?img-width=100,2551.856974167118
J84ePqJuVXQmNCXrx3ZFNiNjVF4y5zMzNfQxwDdLPto8,Kpup,Kobe Pup,9,2025-03-10T06:27:40,,1527.2795033690593
G3ragu4oiR7stMqNpZYRLR97EEbtdEt3DwWYJN6LcG7G,PEPNUT,Pepenut,6,2025-03-10T06:27:39,https://ipfs.io/ipfs/QmV3Nn2gxYkR8MmyU9N8BKdY369Gxjzw7mMseRHeZecci4,2549.7153645560256
25HGmy6GLq611dytD1QVTy2Dk2Sv6WGqm4NSD3hrj37z,bonepowder,bone powder,6,2025-03-10T06:26:54,https://ipfs.io/ipfs/QmTGUvNZYZGraQj7EE4Unt8x8RRVBD7RSW1JZmTE5Yi6Tx,2549.7153645560256
